Id,Nro víctimas,Año,Mes,Día,Hora estandar,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Hora,Rol,Sexo,Edad,FECHA_FALLECIMIENTO,BARRIOS,AREA
2019-0045,1,2019,Junio,Lunes,7,AVENIDA,SI,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,14,-58.41316147,-34.57579669,MOTO-CARGAS,MOTO,CARGAS,7,CONDUCTOR,MASCULINO,33,6/3/2019,PALERMO,15845871.2876
2019-0046,1,2019,Junio,Martes,9,GRAL PAZ,SI,"PAZ, GRAL. AV. y CABILDO AV.",13,-58.47617802,-34.53825652,MOTO-AUTO,MOTO,AUTO,9,PASAJERO_ACOMPAÑANTE,FEMENINO,26,6/4/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0047,1,2019,Junio,Jueves,10,AVENIDA,NO,CASEROS AV. 1700,4,-58.38641783,-34.63330028,PEATON-CARGAS,PEATON,CARGAS,10,PEATON,MASCULINO,76,6/6/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0048,1,2019,Junio,Viernes,7,AVENIDA,NO,AVELLANEDA AV. 1548,6,-58.45322169,-34.62038137,MOTO-CARGAS,MOTO,CARGAS,7,CONDUCTOR,MASCULINO,32,6/7/2019,CABALLITO,6851028.91357
2019-0049,1,2019,Junio,Sábado,9,CALLE,SI,CIUDAD DE LA PAZ y MENDOZA,13,-58.45849057,-34.56166498,PEATON-CARGAS,PEATON,CARGAS,9,PEATON,FEMENINO,72,6/9/2019,BELGRANO - COLEGIALES - NUÑEZ,14713213.1821
2019-0050,1,2019,Junio,Sábado,23,AVENIDA,SI,"SALGUERO, JERONIMO y HONDURAS AV.",14,-58.41829559,-34.59411677,MOTO-CARGAS,MOTO,CARGAS,23,CONDUCTOR,MASCULINO,21,6/9/2019,PALERMO,15845871.2876
2019-0051,1,2019,Junio,Martes,10,CALLE,SI,"FILIBERTO, JUAN DE DIOS y OLAVARRIA",4,-58.36376488,-34.63832093,MOTO-AUTO,MOTO,AUTO,10,CONDUCTOR,MASCULINO,41,6/11/2019,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,21684644.6266
2019-0053,1,2019,Junio,Viernes,17,AVENIDA,SI,ASTURIAS AV. y CASTAÑARES AV.,8,-58.46442668,-34.66004784,AUTO-AUTO,AUTO,AUTO,17,PASAJERO_ACOMPAÑANTE,MASCULINO,49,6/14/2019,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,22216901.8455
2019-0054,1,2019,Junio,Jueves,3,CALLE,NO,GANDARA 2976,15,-58.48222035,-34.58428769,MOTO-OBJETO FIJO,MOTO,MOTO,3,CONDUCTOR,MASCULINO,21,6/20/2019,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,14322896.6041
2019-0055,1,2019,Junio,Jueves,19,AVENIDA,SI,"GUEVARA, TRINIDAD y MADERO, EDUARDO AV.",1,-58.36819005,-34.60283208,MOTO-PASAJEROS,MOTO,PASAJEROS,19,CONDUCTOR,MASCULINO,47,6/21/2019,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,17794568.879
2019-0056,1,2019,Junio,Sábado,17,AVENIDA,NO,BOYACA AV. 305,7,-58.45877601,-34.62330939,PEATON-AUTO,PEATON,AUTO,17,PEATON,FEMENINO,75,6/29/2019,FLORES - PARQUE CHACABUCO,12422900.8308
